,0,1,2,3,4,5,6,7,8,val
172,X,X,O,O,X,X, ,O, ,5.4333705514239705e-15
173,X, ,O,O,X,X,X,O, ,0.00020051464651710786
174,X, ,O,O,X,X, ,O,X,0.9999998992069122
175,X,O,O,O,X,X,X,O, ,0.9274305991828442
176,X, ,O,O,X,X,X,O,O,0.0
177,X,O,O,O,X,X,X,O,X,0.9996825207285867
178,X, ,O,O,X,X, ,O, ,0.9365558164666898
179,O, , ,X, , , , , ,0.22892494453947418
180, ,O, ,X, , , , , ,0.7052093979413626
181, , ,O,X, , , , , ,0.46188233154329095
182, , , ,X,O, , , , ,0.21434374999999997
183, , , ,X, ,O, , , ,1.0520207541763498e-62
184, , , ,X, , ,O, , ,0.31382087286609117
185, , , ,X, , , ,O, ,0.6647555713530111
186, , , ,X, , , , ,O,0.769630946182364
187, ,X, ,X, ,O, , , ,-0.03747627678040695
188, , ,X,X, ,O, , , ,-0.07300909981884238
189, , , ,X,X,O, , , ,-0.037842960325526295
190, , , ,X, ,O,X, , ,-0.020506210757347938
191, , , ,X, ,O, ,X, ,-0.060966466783913834
192,X,X, ,X,O,O, , , ,0.8692369276761198
193,X, ,X,X,O,O, , , ,0.9020793481270144
194,X, , ,X,O,O,X, , ,0.9999999999999238
195,X, , ,X,O,O, ,X, ,0.22543163869538024
196,X, , ,X,O,O, , ,X,0.16315545579193835
197,X,O, ,X,O,O, ,X, ,0.9216315170284359
198,X, ,O,X,O,O, ,X, ,0.9463471602478404
199,X, , ,X,O,O,O,X, ,0.12048221202647397
200,X, , ,X,O,O, ,X,O,0.9299740648608713
201,X,X, ,X,O,O,O,X, ,-0.9274272012831444
202,X, ,X,X,O,O,O,X, ,3.080478671702558e-22
203,X, , ,X,O,O,O,X,X,-0.9310288166284433
204,X,O,X,X,O,O,O,X, ,0.0
205,X, ,X,X,O,O,O,X,O,0.9499999999945894
206,X,X,X,X,O,O,O,X,O,0.9999999999999758
207,X, , ,X,O,O, , , ,0.9482682351811152
208,X,X, , , , , , ,O,-0.251541837222825
209,X, ,X, , , , , ,O,0.8121980695517657
210,X, , ,X, , , , ,O,-0.08422626024866134
211,X, , , , ,X, , ,O,-0.19344513573607683
212,X, , , , , ,X, ,O,0.396097101065793
213,X, , , , , , ,X,O,-0.16504856907432042
214,X,O, ,X, , , , ,O,0.9085726109445094
215,X, , ,X,O, , , ,O,0.9365860803423821
216,X, , ,X, ,O, , ,O,0.849012129368782
217,X, , ,X, , ,O, ,O,-0.18882567246567358
218,X, , ,X, , , ,O,O,0.2542061767578125
219,X,X, ,X, ,O, , ,O,-0.37913720703125
220,X, ,X,X, ,O, , ,O,0.8296786154747009
221,X, , ,X,X,O, , ,O,-0.9098766207695007
222,X, , ,X, ,O,X, ,O,0.9999943431708466
223,X, , ,X, ,O, ,X,O,-0.061623828124999974
224,X,O, ,X, ,O, ,X,O,0.2938031585593708
225,X, ,O,X, ,O, ,X,O,0.0
226,X, , ,X, ,O,O,X,O,-0.2961328125
227,X,O,X,X, ,O, ,X,O,0.020961156862322243
228,X,O, ,X,X,O, ,X,O,-0.9199074655771255
229,X,O, ,X, ,O,X,X,O,0.578125
230,X,O,X,X,O,O, ,X,O,0.9499999999945894
231,X,O,X,X, ,O,O,X,O,0.0
232,X,O,X,X,O,O,X,X,O,0.9999999999999998
233,X,X, , , , , ,O, ,0.25539614385532583
234,X, , ,X, , , ,O, ,-0.7445785739480452
235,X, , , ,X, , ,O, ,0.5179385415668425
236,X, , , , ,X, ,O, ,0.19809166174806878
237,X, , , , , ,X,O, ,0.8151986461373338
238,X, , , , , , ,O,X,0.28296392649099666
239,X,O, ,X, , , ,O, ,0.878669548034668
240,X, , ,X,O, , ,O, ,0.9254567679186569
241,X, , ,X, ,O, ,O, ,0.7679540064501762
242,X, , ,X, , ,O,O, ,-0.8097373317686638
243,X,X, ,X, ,O, ,O, ,0.5221692916870116
244,X, ,X,X, ,O, ,O, ,0.3557044465856634
245,X, , ,X,X,O, ,O, ,0.8145919207619488
246,X, , ,X, ,O, ,O,X,0.8739120922982693
247,X,O,X,X, ,O, ,O, ,0.7784248030061689
248,X, ,X,X,O,O, ,O, ,0.9404785340302624
249,X, ,X,X, ,O,O,O, ,0.17071317422736632
250,X, ,X,X, ,O, ,O,O,0.8548927307128906
251,X,X,X,X,O,O, ,O, ,0.9577648639678955
252,X, ,X,X,O,O,X,O, ,0.9999976135252009
253,X,X, , ,O, , , , ,-0.21230281792279876
254,X, ,X, ,O, , , , ,-0.21434374385013782
255,X, , ,X,O, , , , ,-0.3385219115336371
256,X, , , ,O,X, , , ,-0.09404112996621625
257,X, , , ,O, ,X, , ,-0.21926478966608767
258,X, , , ,O, , ,X, ,-0.21434364592538363
259,X, , , ,O, , , ,X,-0.12044200349324946
260,X,O,X, ,O, , , , ,-0.2256250017075339
261,X, ,X,O,O, , , , ,0.4557776377728484
262,X, ,X, ,O,O, , , ,0.9033406699309336
263,X, ,X, ,O, ,O, , ,0.9444128760790657
264,X, ,X, ,O, , , ,O,0.946812738048061
265,X,O,X, ,O, ,X,O, ,-0.9999999989897916
266,X, ,X,O,O, ,X,O, ,0.05872790527343752
267,X, ,X, ,O,O,X,O, ,0.9098766207695007
268,X, ,X, ,O, ,X,O,O,0.9450291252857209
269,X,X,X,O,O, ,X,O, ,0.9995766943047821
270,X, ,X,O,O,X,X,O, ,-0.7499928876698485
271,X, ,X,O,O, ,X,O,X,-0.78092041015625
272,X,O,X,O,O,X,X,O, ,-0.9999924575611288
273,X, ,X,O,O,X,X,O,O,0.9499997730288985
274,X,X,X,O,O,X,X,O,O,0.9999999999999998
275,O, , , , ,X, , , ,0.3728252602325856
276, ,O, , , ,X, , , ,0.562788867255818
277, , ,O, , ,X, , , ,0.21844266105574406
278, , , ,O, ,X, , , ,0.2947658557893558
279, , , , ,O,X, , , ,-0.15271992187499997
280, , , , , ,X,O, , ,0.5761298869192418
281, , , , , ,X, ,O, ,0.7833759170143287
282, , , , , ,X, , ,O,0.20756597765968254
283, ,X, , , ,X, , ,O,-0.7939477229868441
284, , ,X, , ,X, , ,O,-0.7207991272426634
285, , , ,X, ,X, , ,O,-0.598338057184969
286, , , , , ,X,X, ,O,-0.1712620999584242
287, , , , , ,X, ,X,O,-0.36339024881031945
288,O,X, , ,X,X, , ,O,0.7605210895538329
289,O, ,X, ,X,X, , ,O,0.886311700650235
290,O, , ,X,X,X, , ,O,0.9999999999999429
291,O, , , ,X,X,X, ,O,0.815300805568695
292,O, , , ,X,X, ,X,O,0.7418743896484374
293,O,O,X, ,X,X, , ,O,0.9219355125129223
294,O, ,X,O,X,X, , ,O,0.920667143495886
295,O, ,X, ,X,X,O, ,O,0.9196296612384913
296,O, ,X, ,X,X, ,O,O,0.9199074655771255
297,O,O,X,X,X,X, , ,O,0.68359375
298,O,O,X, ,X,X,X, ,O,0.9986621449632622
299,O,O,X, ,X,X, ,X,O,0.8121480941772461
300,O, , , ,X,X, , ,O,0.9494208865901543
301,X,X, , , , ,O, , ,0.7830685906679963
302,X, ,X, , , ,O, , ,0.08445301045507846
303,X, , ,X, , ,O, , ,-0.7677581699174514
304,X, , , ,X, ,O, , ,-0.17472754095357895
305,X, , , , ,X,O, , ,-0.3033825955635955
306,X, , , , , ,O,X, ,-0.2143405231604784
307,X, , , , , ,O, ,X,0.26747881007953717
308,X,O, , , , ,O,X, ,0.26034328418803443
309,X, ,O, , , ,O,X, ,0.6875737263090267
310,X, , ,O, , ,O,X, ,0.4789351544719585
311,X, , , ,O, ,O,X, ,-0.22562212608271182
312,X, , , , ,O,O,X, ,0.7849228023802673
313,X, , , , , ,O,X,O,0.8075240418365597
314,X,X,O, , , ,O,X, ,-0.06943627929687501
315,X, ,O,X, , ,O,X, ,-0.8231903076171875
316,X, ,O, ,X, ,O,X, ,0.9024929250054172
317,X, ,O, , ,X,O,X, ,-0.08478007812500002
318,X, ,O, , , ,O,X,X,-0.9127604886516928
319,X,O,O,X,X, ,O,X, ,0.8347360706329345
320,X,O,O, ,X,X,O,X, ,0.9015944393720081
321,X,O,O, ,X, ,O,X,X,0.9999999998202047
322,X,O,O,O,X,X,O,X, ,0.9499969771319211
323,X,O,O, ,X,X,O,X,O,0.9499999999969566
324,X,O,O, ,X, ,O,X, ,0.9499416109593708
325,X,O,O, , , , ,X, ,0.8369009708276798
326,X,O, ,O, , , ,X, ,0.7929992671012877
